8/23/2021,205176686,143604049,14144305
8/24/2021,205626564,143785747,14160458
8/25/2021,206265542,144036513,14195895
8/26/2021,206901538,144290127,14230266
8/27/2021,207646621,144578104,14265931
8/28/2021,208396423,144863997,14301768
8/29/2021,209073174,145108915,14330970
8/30/2021,209579682,145280750,14345660
8/31/2021,210054512,145447491,14358641
9/1/2021,210798052,145736021,14392613
9/2/2021,211373074,145967563,14420976
9/3/2021,212319148,146379359,14460971
9/4/2021,212979842,146657321,14492832
9/7/2021,214049719,147054366,14531824
9/8/2021,214716553,147324654,14553296
9/9/2021,215153880,147523191,14582801
9/10/2021,215801105,147791051,14613451
9/11/2021,216417387,148045563,14643267
9/12/2021,216951668,148255720,14667381
9/13/2021,217363615,148418837,14681798
9/14/2021,217796918,148591187,14696874
9/15/2021,218353396,148847705,14723114
9/16/2021,218872070,149044965,14750931
9/17/2021,219521437,149319792,14781084
9/18/2021,220137971,149586411,14812351
9/19/2021,220600691,149772779,14837004
9/20/2021,221070020,149941346,14850165
9/21/2021,221445415,150094768,14863714
9/22/2021,221929245,150295981,14889245
9/23/2021,222148207,150415654,14876579
9/24/2021,222663971,150619059,14900349
9/25/2021,223228392,150832560,14925576
9/26/2021,223782867,151000534,14942698
9/27/2021,224223342,151102564,14950507
9/28/2021,224659347,151150063,14954307
9/29/2021,225313214,151310851,14977044
9/30/2021,226033301,151481614,15000326
10/1/2021,226714560,151622624,15022960
10/2/2021,227447588,151796711,15047364
10/3/2021,228504095,151965988,15065673
10/4/2021,229356695,152089746,15073515
10/5/2021,230023148,152207170,15087687
10/6/2021,230795097,152371218,15107206
10/7/2021,231516893,152505315,15126616
10/8/2021,232461866,152657055,15145348
10/9/2021,233393286,152840025,15178784
10/12/2021,234867451,153091886,15208784
10/13/2021,235518908,153216702,15225611
10/14/2021,236409595,153369108,15250730
10/15/2021,237325727,153548987,15278936
10/16/2021,238048239,153681390,15298169
10/17/2021,238736184,153795531,15313732
10/18/2021,239189084,153865158,15322713
10/19/2021,239709996,153970330,15336709
10/20/2021,240324759,154087303,15353873
10/21/2021,240994970,154219584,15371265
10/22/2021,241772516,154369262,15393747
10/23/2021,242485197,154526345,15415408
10/24/2021,243046759,154735646,15432695
10/25/2021,243447128,154980294,15444234
10/26/2021,243856565,155267673,15457247
10/27/2021,244436832,155799040,15486250
10/28/2021,245237611,156602727,15521154
10/29/2021,245831871,157205236,15549336
10/30/2021,246573186,158053763,15594341
10/31/2021,247226364,158772903,15632926
11/1/2021,247644758,159264439,15657802
11/2/2021,248071961,159747250,15684476
11/3/2021,248655677,160450092,15725873
11/4/2021,249302522,161206881,15774846
11/5/2021,249839661,161885137,15827858
11/6/2021,250435837,162648210,15876019
11/7/2021,251090534,163390613,15917693
11/8/2021,251645451,163930600,15944839
11/9/2021,252338508,164395658,15973618
11/10/2021,253035590,164985307,16015198
11/12/2021,254532491,166271061,16094232
11/13/2021,255432746,167010749,16135268
11/14/2021,256253584,167679443,16169549
11/15/2021,257105458,168242391,16200158
11/16/2021,257869920,168812041,16233985
11/17/2021,258642454,169412238,16274660
11/18/2021,259373312,170102986,16312826
11/19/2021,260476713,170858487,16357570
11/20/2021,261421616,171663254,16405286
11/21/2021,262228410,172316148,16442908
11/22/2021,262914388,172810191,16466807
11/23/2021,263010518,172792190,16435004
11/24/2021,264025943,173461121,16488220
11/29/2021,266730650,175430932,16597641
11/30/2021,267639715,176026339,16631251
12/1/2021,268520407,176594175,16671481
12/2/2021,269856321,177388926,16720690
12/3/2021,270946361,178149886,16770397
12/4/2021,272232377,178978980,16822204
12/5/2021,273270797,179679243,16863349
12/6/2021,274156276,180171419,16888006
12/7/2021,275121905,180717034,16918762
12/8/2021,276485648,181774966,16979979
12/9/2021,277472166,182451675,17020935
12/10/2021,279344831,183628648,17100985
12/11/2021,280625893,184422633,17152271
12/12/2021,281519334,184989803,17185562
12/13/2021,282267391,185388911,17206942
12/14/2021,283012348,185831223,17233475
12/15/2021,284069934,186454785,17272247
12/16/2021,285106254,187111796,17311789
12/17/2021,286210683,187823886,17355211
12/18/2021,287241895,188491220,17394753
12/19/2021,288121540,189052448,17422358
12/20/2021,288825557,189469043,17438700
